paragraphs,section_tag_3,title_meta_data,cross-ref,vessel_type
"TABLE 1Shaft Design Factors K and CK for Line Shafts and Thrust Shafts (2024)


 

Factor



 

Propulsion


drives 




 Design features (1) 






 Integral flange




 Shrink fit coupling




 Keyways (2)




 Radial holes, transverse holes (3)




 Longitud-inal slots (4)




 On both sides of thrust collars




 In way of axial bearings used as thrust bearings 




 Straight sections 










K





 Type A 


 0.95 


 0.95 


 1.045 


 1.045 


 1.14 


 1.045 


 1.045 


 0.95 




 Type B 


 1.0 


 1.0 


 1.1 


 1.1 


 1.2 


 1.1 


 1.1 


 1.0 








C
K






 


1.0


1.0


0.6


0.5


0.3


0.85


0.85


1.0






 Type A: Turbine drives; electric drives; diesel drive through slip couplings (electric or hydraulic). 




Type B: All other diesel drives.





Notes: 




 

1


 Geometric features other than those listed are subject to ABS technical assessment and approval. 



 

2


 After a length of not less than 0.2D from the end of the keyway, the shaft diameter may be reduced to the diameter calculated for straight sections. 
 Fillet radii in the transverse section of the keyway are not to be less than 0.0125D. 



 

3


 Diameter of bore not more than 0.3D. See 4-3-2/Figure 3 below.



 

4


Subject to limitations as slot length (â)/outside diameter < 0.8 and inner diameter (di)/outside diameter < 0.7 and slot width (e)/outside diameter > 0.15. The end rounding of the slot is not to be less than e/2. An edge rounding should preferably be avoided as this increases the stress concentration slightly.
The k and cK values are valid for 1, 2 and 3 slots, (i.e., with slots at 360 respectively 180, and respectively 120 degrees apart). 



 

5






c
K

=
0
.
3

 is an approximation within the limitations in Note 4. More accurate estimate of the stress concentration factor (scf) may be determined from Appendix 4-3-2-A1 or by direct application of FE calculation. In which case:




c
K

=
1
.
45
/
scf



Note that the scf is defined as the ratio between the maximum local principal stress and 3 times the nominal torsional stress (determined for the bored shaft without slots)",4-3-2/5 TABLE 1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ']",standalone,
"TABLE 2 Shaft Design Factors K and CK for Tail Shafts and Stern Tube Shafts (1) (2024)



Factor




 Propulsion 


 drive 




 Stern tube 

 Configuration



 Tail shafts: propeller attachment method
(2) 




 Stern tube shafts
 (7, 8)






 Keyed
(3) 




 Keyless attachment 


 by shrink fit
(4) 




 Flanged
(5) 











K






 All 


 Oil lubricated bearings 


 1.26 


 1.22 


 1.22 


 1.15 




 All 


 Water lubricated bearings: continuous shaft liners or equivalent (see 4-3-2/5.17.6) 


 1.26 


 1.22 


 1.22 


 1.15 




 All 


 Water lubricated bearings: 
 non-continuous shaft liners(6) 


 1.29 


 1.25 


 1.25 


 1.18 









C
K







 


0.55


0.55


0.55


0.8







 Notes: 




 

1


 Tail shaft may be reduced to stern tube shaft diameter forward of the bearing supporting the propeller, and the stern tube shaft reduced to line shaft diameter inboard of the forward stern tube seal. The inboard end of tail shafts or tube shafts within the vessel, as applicable, is to be designed the same as line shafts, with shaft design factors in accordance with 4-3-2/5 TABLE 1. 



 

2


Other attachments are subject to ABS technical assessment and approval.



 

3


 Fillet radii in the transverse section at the bottom of the keyway are not to be less than 0.0125D. 



 

4


 See also 4-3-2/5.11 and 4-3-3/5.15.2.



 

5


 For flange fillet radii and flange thickness, see 4-3-2/5.19.3.



 

6


 For Great Lakes Service K factor corresponding to continuous liner configuration may be used.



 

7






K


 factor applies to shafting between the forward edge of the propeller-end bearing and the inboard stern tube seal.



 

8


 Where keyed couplings are fitted on stern tube shaft, the shaft diameters are to be increased by 10% in way of the coupling. See Note 2 of 4-3-2/5 TABLE 1.",4-3-2/5 TABLE 2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ']",standalone,
"TABLE 3 Maximum Values of U  to be Used in Shaft Calculations


 



 SI units 


 N/mm2 




 MKS units 


 kgf/mm2 




 US units 


 psi 







1.


For all alloy steel shafts except tail shafts and tube shafts stated in 3 and 4 below.


 800 


 81.5 


 116,000 




2.


For all carbon and carbon-manganese shafts except tail shafts and tube shafts stated in 3 and 4 below.


760


77.5 


110,200




3.


 For tail shafts and tube shafts in oil lubricated bearings or in saltwater lubricated bearings but fitted with continuous liner or equivalent (see 4-3-2/5.17.6). 


 600 


 61.2 


 87,000 




4.


 For tail shafts and tube shafts in saltwater lubricated bearings fitted with non-continuous liners. 


 415 


 42.2 


 60,000 




5.


For tail shafts and other shaft sections manufactured of age-hardened martenistic stainless steels, higher-strength austenitic stainless steels such as ASTM Type XM-19, XM-21 or XM-28 or other high strength alloy materials.


930


95.0


135,000",4-3-2/5 TABLE 3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ']",standalone,
"Line cutters reduce the risk of propeller entanglement and shaft seal damage caused by line intrusion. See 4-3-2/Figures 13, 14 and 15 for different types of line cutter.",4-3-2/17,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)']",14 and 15,all vessels
"Line cutters reduce the risk of propeller entanglement and shaft seal damage caused by line intrusion. See 4-3-2/Figures 13, 14 and 15 for different types of line cutter.",4-3-2/17,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)']",4-3-2/Figures 13,all vessels
FIGURE 3 Intersection between a Radial and an Eccentric Axial Bore,4-3-2/5 FIGURE 3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ']",standalone,
"Notes:

Either an individual indication or a common trouble alarm may be fitted at this location, provided the individual indication is installed at the equipment (or main control station).
For vessels not fitted with a main control station, the indication is to be installed at the equipment or other suitable location.
Applicable only for ACCU Notation.
For TCM-PS Notation only
If provided
Optional",4-3-2/14,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '14 Tailshaft Condition Monitoring (TCM-PS) (1 July 2022)']",standalone,all vessels
"TABLE 5 Instrumentation and Alarms for TCM and TCM-PS Notations



Monitored Parameter




Alarm Condition




Display




Local




Main Control Station(2)




Navigation Bridge(1, 3)






Bearing Temperature
High 

x





x


x




Oil Flow, Pressure or DPS


Low


x





x


x




Oil Temperature


High


x





x


x




Oil tank Level


Low








x


x




Air pressure(4, 5)


Low


x(6)


x(6)


x


x




Drain Tank Level(4)


High








x


x",4-3-2/14.5 TABLE 5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '14 Tailshaft Condition Monitoring (TCM-PS) (1 July 2022)', '14.5 Control and Monitoring']",standalone,
"Instruments for monitoring for the stern tube lubricating oil and tailshaft seal system are to be provided, as indicated in 4-3-2/14.5 TABLE 5. All alarms are to be audible and visual and are to be of the self-monitoring type so that a circuit failure will cause an alarm condition. There are to be provisions for testing alarms.",4-3-2/14.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '14 Tailshaft Condition Monitoring (TCM-PS) (1 July 2022)', '14.5 Control and Monitoring']",4-3-2/14.5 TABLE 5,all vessels
"Where requested by the Owner, the optional class notation Line Cutter may be assigned to a vessel with line cutters, provided the following requirements are complied with.",4-3-2/17.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.1 Notation (2024)']",standalone,all vessels
