actual_child,actual_path,path_parent
propulsion shaft,4-3-2/1.1,4-3-2/1
coupling,4-3-2/1.1,4-3-2/1
clutch,4-3-2/1.1,4-3-2/1
propulsion shaft,4-3-2/1.2.1,4-3-2/1.2
propulsion shaft,4-3-2/1.2.2,4-3-2/1.2
shaft seal,4-3-2/1.2.2,4-3-2/1.2
bearing,4-3-2/1.2.2,4-3-2/1.2
coupling,4-3-2/1.2.2,4-3-2/1.2
clutch,4-3-2/1.2.2,4-3-2/1.2
propeller,4-3-2/1.2.2,4-3-2/1.2
propulsion shaft,4-3-2/1.2.3,4-3-2/1.2
tail shaft,4-3-2/1.3.1,4-3-2/1.3
tube shaft,4-3-2/1.3.2,4-3-2/1.3
line shaft,4-3-2/1.3.3,4-3-2/1.3
thrust shaft,4-3-2/1.3.4,4-3-2/1.3
hollow shaft,4-3-2/1.3.5,4-3-2/1.3
propulsion shaft,4-3-2/1.5.1,4-3-2/1.5
propulsion shaft,4-3-2/1.5.2,4-3-2/1.5
clutch,4-3-2/1.5.2,4-3-2/1.5
flexible coupling,4-3-2/1.5.3,4-3-2/1.5
cardan shaft,4-3-2/1.5.4,4-3-2/1.5
propulsion shaft,4-3-2/1.5.5,4-3-2/1.5
propulsion shaft,4-3-2/3.1,4-3-2/3
coupling bolt,4-3-2/3.1,4-3-2/3
shaft key,4-3-2/3.1,4-3-2/3
clutch,4-3-2/3.1,4-3-2/3
propulsion shaft,4-3-2/3.1.1,4-3-2/3.1
propulsion shaft,4-3-2/3.1.2,4-3-2/3.1
propulsion shaft,4-3-2/3.1.3,4-3-2/3.1
coupling bolt,4-3-2/3.1.3,4-3-2/3.1
propulsion shaft,4-3-2/3.3,4-3-2/3
shaft liner,4-3-2/3.5,4-3-2/3
propulsion shaft,4-3-2/3.7.1,4-3-2/3.7
coupling bolt,4-3-2/3.7.1,4-3-2/3.7
shaft key,4-3-2/3.7.1,4-3-2/3.7
clutch,4-3-2/3.7.1,4-3-2/3.7
propulsion shaft,4-3-2/3.7.2(a),4-3-2/3.7
coupling bolt,4-3-2/3.7.2(a),4-3-2/3.7
shaft key,4-3-2/3.7.2(a),4-3-2/3.7
clutch,4-3-2/3.7.2(a),4-3-2/3.7
coupling bolt,4-3-2/3.7.2(b),4-3-2/3.7
coupling bolt,4-3-2/3.7.2(c),4-3-2/3.7
clutch,4-3-2/3.7.2(c),4-3-2/3.7
tail shaft,4-3-2/3.7.3,4-3-2/3.7
tail shaft,4-3-2/3.7.3(a),4-3-2/3.7
tail shaft,4-3-2/3.7.3(b),4-3-2/3.7
line shaft,4-3-2/5.1,4-3-2/5
